"","title","ID","qc_notes","Abstract","Authors","year","Database_unique","search","reviewer_name","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","reason"
"1","dissolved organic matter characterization in soils and streams in a small coastal low-arctic catchment","r3_25","Ag_search_issue","Ongoing climate warming in the western Canadian Arctic is leading to thawing of permafrost soils and subsequent mobilization of its organic matter pool. Part of this mobilized terrestrial organic matter enters the aquatic system as dissolved organic matter (DOM) and is laterally transported from land to sea. Mobilized organic matter is an important source of nutrients for ecosystems, as it is available for microbial breakdown, and thus a source of greenhouse gases. We are beginning to understand spatial controls on the release of DOM as well as the quantities and fate of this material in large Arctic rivers. Yet, these processes remain systematically understudied in small, high-Arctic watersheds, despite the fact that these watersheds experience the strongest warming rates in comparison. Here, we sampled soil (active layer and permafrost) and water (porewater and stream water) from a small ice wedge polygon (IWP) catchment along the Yukon coast, Canada, during the summer of 2018. We assessed the organic carbon (OC) quantity (using dissolved (DOC) and particulate OC (POC) concentrations and soil OC content), quality ( δ 13 C DOC, optical properties and source apportionment) and bioavailability (incubations; optical indices such as slope ratio, S r ; and humification index, HIX) along with stream water properties (temperature, T ; pH; electrical conductivity, EC; and water isotopes). We classify and compare different landscape units and their soil horizons that differ in microtopography and hydrological connectivity, giving rise to differences in drainage capacity. Our results show that porewater DOC concentrations and yield reflect drainage patterns and waterlogged conditions in the watershed. DOC yield (in mg DOC g - 1 soil OC ) generally increases with depth but shows a large variability near the transition zone (around the permafrost table). Active-layer porewater DOC generally is more labile than permafrost DOC, due to various reasons (heterogeneity, presence of a paleo-active-layer and sampling strategies). Despite these differences, the very long transport times of porewater DOC indicate that substantial processing occurs in soils prior to release into streams. Within the stream, DOC strongly dominates over POC, illustrated by DOC / POC ratios around 50, yet storm events decrease that ratio to around 5. Source apportionment of stream DOC suggests a contribution of around 50 % from permafrost/deep-active-layer OC, which contrasts with patterns observed in large Arctic rivers (12 ± 8 %; Wild et al.,&#xa0;2019). Our 10 d monitoring period demonstrated temporal DOC patterns on multiple scales (i.e.,&#xa0;diurnal patterns, storm events and longer-term trends), underlining the need for high-resolution long-term monitoring. First estimates of Black Creek annual DOC (8.2 ± 6.4 t DOC yr - 1 ) and POC (0.21 ± 0.20 t yr - 1 ) export allowed us to make a rough upscaling towards the entire Yukon Coastal Plain (34.51 ± 2.7 kt DOC yr - 1 and 8.93 ± 8.5 kt POC yr - 1 ). Rising Arctic temperatures, increases in runoff, soil organic matter (OM) leaching, permafrost thawing and primary production are likely to increase the net lateral OC flux. Consequently, altered lateral fluxes may have strong impacts on Arctic aquatic ecosystems and Arctic carbon cycling.","Speetjens, Niek Jesse;Tanski, George;Martin, Victoria;Wagner, Julia;Richter, Andreas;Hugelius, Gustaf;Boucher, Chris;Lodi, Rachele;Knoblauch, Christian;Koch, Boris P;Wünsch, Urban;Lantuit, Hugues;Vonk, Jorien E","2022","Agricultural & Environmental Science Collection","pro","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"2","hydrologic influence on stream water nitrogen to phosphorus ratios","r3_26","Ag_search_issue","Watersheds and their complex network of flow paths regulate the movement of water and nutrients to aquatic ecosystems. Overland and subsurface (soil and ground water) flow paths transport nitrogen (N) and phosphorus (P) with differing levels of efficiency; P transport occurs via surface flow paths almost exclusively and N transport can utilize both overland and subsurface flow paths. Stream water N:P ratios influence ecosystem community composition, nutrient limitation of primary production, and trophic dynamics. Regional patterns of stream water N:P ratios have been identified, however, the controls driving the pattern remains poorly understood. This dissertation hypothesizes that watershed flow paths control the regional variation of stream water N:P ratios. Three independent lines of evidence were pursued to address the hypothesis: (i) a field study that quantified watershed flow paths and stream water N:P ratios in two watersheds with distinctly different hydrology; (ii) a watershed modeling exercise that simulated many different precipitation regimes and recorded the resulting flow paths and N:P ratios; (iii) a data synthesis of 58 minimally-impacted watersheds across the United States that focused on the relationship between stream water N:P ratios and stream discharge. The results from the three studies all indicate that watershed flow paths influence stream water N:P ratios. Furthermore, the results from all lines of evidence identify a possible scaling relationship between N:P ratios and stream discharge across large temporal and spatial ranges. The results suggest that watershed connectivity with the stream, defined as the sum of the active watershed flow paths, is a fundamental condition that helps explain the variability of N:P ratios, and has important implications for the watershed transport of other elements. Such information allows more informed management of aquatic ecosystems in a changing environment.","Green, Mark Benjamin","2007","Agricultural & Environmental Science Collection","pro","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"3","product spotlight: dust control &amp; explosion prevention","r3_27","Ag_search_issue","CENTRAL-VAC SYSTEM * Keep your facility clean * Position numerous suction points throughout facility * Lightweight 2- or 3-inch hoses * Floor sweep tool and crevice tool * Reduces potential for dust related explosions Feedandgrain.com/product/central-vac-system SONICAIRE SONICAIRE™ CLEAN FANS * Prevent dust buildup on overhead structures * Leverage BarrierAIre™ technology to create an overhead air curtain * Keep employees continuously safe * Maintain OSHA compliance * Make a one-time investment that pays for itself in a year Feedandgrain.com/product/sonicaire-clean-fans INTERSTATES COMPANIES HAZARD MONITORING SYSTEMS * Customizable configuration and settings * Configurable equipment shutdown set points * Trending and reporting * Alarm monitoring * Sensor-based diagnostics Feedandgrain.com/product/hazard-monitoring-systems HONEYVILLE METAL, INC. TOP BAG REMOVABLE FILTER * Improved filter is an option available to most Kice filters * Quick release laterals, which are easily removed without tools for installing filter bags * Filter bags can be replaced without having to enter a dirty air chamber * New design is simple, requires less maintenance and eliminates any safety concerns related to new hinged top filters Feedandgrain.com/producl/lop-bag-removable-liller CMC INDUSTRIAL ELECTRONICS HAZMON IN A BOX™ * All parts included from sensors and mounting brackets to nuts and bolts * Enables significantly reduced installation costs * Enables consistent and efficient installation across sites Feedandgrain.com/product/hazmon-in-a-box AIRLANCO (AGI) HV SERIES CYCLONES * Built big enough to handle large air volumes without ganging * Intended largely for outdoor installations where physical size is unlimited * Serve as primary product receivers at processing plants where valuable process materials are separated from conveying air * Carbon or stainless steel, with round or square inlets; variety of mounting flanges, ductwork, fans, air locks and other equipment Feedandgrain.com/producl/hv-series-cyclones ELECTRO- SENSORS, INC. HAZARDPRO™ CLASS II, DIV. 1 WIRELESS HAZARD MONITORING * Class II Div. 1 approvals * Install in days not weeks * Modbus TCP/IP data transfer conduit- free installations Feedandgrain.com/producl/hazardpro 4B COMPONENTS LTD. WATCHDOG™ SUPER ELITE * Processes signals from up to 27 sensors for belt slip, belt misalignment, hot bearings, pulley misalignment and plug conditions on bucket elevators or conveyors * Large 3.5-inch color graphic LCD screen displays the entire system status * When an alarm condition is detected, the system will log the details, sound an alarm and provide shutdown control of the elevator/conveyor and feeding system * PLC connectivity by standard Modbus TCP/IP or Ethernet/IP * HazardMon.com secure cloud based integration Feedandgrain.com/product/watchdog-super-elite SCHENCK PROCESS MCF POWERSAVER DUST COLLECTION SYSTEM * Requires no integrated plant air to function * Generates energy cost-savings of up to 50% over conventional high pressure pulse jet or reverse air cleaning systems * Built to handle heavy dust loads and comes in sizes and configurations to fit most industrial air quality applications * Never Miss™ Controlled-Cleaning System aligns the cleaning arm and bag segments, so that air nozzles fire directly into the bags Feedandgrain.com/product/mcf-powersaver EDWARD J. HECK &amp; SONS CO.","Anonymous","2018","Agricultural & Environmental Science Collection","pro","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"4","the influence of lateral hydrologic connectivity on fluvial flux and ecosystem metabolism in a river-floodplain system","r3_28","Ag_search_issue","Within mountainous watersheds and river networks, low-gradient valley bottoms can function as locations of high retention and biogeochemical processing. We evaluated hydrologic dynamics, nutrient flux, and aquatic ecosystem metabolism across the snowmelt hydrograph from May – October 2015 along two river segments of the North Saint Vrain Creek, Rocky Mountain National Park, Colorado: a valley-confined channel (confined segment) and an unconfined wet valley (unconfined segment) directly downstream. We observed significant differences in water, carbon, and nutrient flux, ecosystem metabolism, and lateral hydrologic connectivity dynamics among these contrasting segments. The confined segment was a consistent source of water, carbon, and nutrients and exported 14.4 mm of water, 26 g NO 3 -N ha -1 , 41 g dissolved organic nitrogen (DON) ha -1 , and 721 g dissolved organic carbon (DOC) ha -1 per 100 m of river length over the study period. In contrast, the unconfined segment exhibited variable source-sink dynamics and stored 1.2 g NO 3 -N ha -1 and 1.8 g DON ha -1 , and exported only 1.1 mm of water and 8 g DOC ha -1 per 100 m. The retention of water, DOC and N related to the strength of lateral connectivity between the river and the floodplain, which in turn, influenced fluvial ecosystem metabolism rates. Gross primary productivity (GPP) and ecosystem respiration (ER) rates were higher and more variable in the unconfined versus confined river segment; average GPP was +1.01 ± 0.76 g O 2 m -2 d -1 and ER was -1.77 ± 1.10 g O 2 m -2 d -1 in the unconfined segment, whereas average GPP was +0.09 ± 0.14 g O 2 m -2 d -1 and ER was -0.72 ± 0.50 g O 2 m -2 d -1 in the confined segment. We found that along the unconfined segment, metabolism rates generally increased from high to low flows and that the greatest increases occurred in a floodplain side-channel with intermittent surface water connections with the main channel. Combined, our data suggest a conceptual model where DOC and N are delivered to floodplain water-bodies via lateral hydrologic connections during high flows, and are subsequently utilized when velocities decline and processing rates are maximized.","Wegener, Pamela","2016","Agricultural & Environmental Science Collection","pro","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"6","a floodplain-scale lake classification based on characteristics of macroinvertebrate assemblages and corresponding environmental properties","r3_01","June 30 search","Floodplain lakes have been experiencing great pressures by human activities, and ecological functionsin different types of lakes show different degrees of degradation. For facilitating conservation and management of different types of floodplain lakes, it is necessary to classify the lakes into similar groups according to certain standards. In this study, on basis of consideration of macroinvertebrate assemblages and corresponding environmental properties, the Yangtze floodplain lakes were classified into three major types grouping five groups of lakes: (1) river-disconnected lakes (algal lakes, macrophytic-algal transition lakes, and macrophytic lakes), (2) semi-connected lakes (oxbow lakes), (3) river-connected lakes. The classification of floodplain lakes mainly reflects the gradients of trophic and hydrological connectivity. The key factors structuring macroinvertebrate assemblages in the Yangtze floodplain lakes were mainly hydrological (connectivity rating, water depth), trophic (total phosphorus, macrophytes biomass) and morphometric (development of lake shoreline). Among the floodplain lakes, ecological status of river-connected lakes, where biodiversity, biomass and production of macroinvertebrates reached maxima, has been confirmed to be the best. From the view of conservation and management of the entire floodplain lakes, it is suggested that protecting the remnants of river-connected lakes, controlling eutrophication and linking disconnected lakes freely with the mainstream are crucial.","Pan, Baozhu;Wang, Hongzhu;Wang, Haijun","2014","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"10","a tracer-based simulation approach to quantify seasonal dynamics of surface-groundwater interactions in the pantanal wetland","r3_02","","The Pantanal wetland is one of the least explored regions of South America. It is characterized by an outstanding flora and fauna adapted to a seasonal flood pulse controlled by a dry and a wet season within each year. The resulting inundation covers in average an area of approximately 150000km super(2) and is seen as the most important driver for ecological integrity. Evaporation from the large floodplain is supposed to influence the climate of the whole continent. The regional groundwater is connected to the surface water and plays an important role for the characteristic flooding regime by regulating the wetland's water table. The water balance assessment of the wetland and the internal water exchange between surface and groundwater is therefore of high relevance for the conservation of the Pantanal biodiversity. Despite of its importance, water balance studies including groundwater-surface water interactions based on field data are rarely undertaken. This is mainly due to the remoteness and difficulty in accessing this area, which results in lack of data. In our study, we developed a new tracer-based model to simulate the spatio-temporal surface and subsurface fluxes for a range of water bodies. The model was able to simulate these fluxes considering a dynamic simulation of inflow and outflow using a newly collected 2-year dataset of water levels, stable water isotopes and chloride collected from several water bodies in the northern Pantanal region. Quantitative differences between water bodies according to their location in the floodplain were determined by the flooding regime and connectivity as well as site-specific characteristics, such as hydraulic conductivity and water depth. Our model simulated water balance fluxes with a Nash-Sutcliffe efficiency of 0.61, whereas it simulated stable water isotopic compositions better than chloride. We present the first study based on field data for the Pantanal, which is able to quantify water balances fluxes. Because their representation in global climate and land cover products is insufficient, our simulation results are valuable for validating large-scale models.","Schwerdtfeger, J;Hartmann, A;Weiler, M","2016","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"18","assessing seasonal eco-hydrological variability in lakes in the peace athabasca delta","r3_03","","It has been accepted previously that flood events brought about river ice-jam flooding plays a important role in the biology and maintenance of the Peace-Athabasca Delta (PAD) lakes through recharge of water volume and supplying nutrients to maintain the high productivity of deltaic lakes. While such assumptions are not unreasonable, little research has been done to test this theory. Ten PAD lakes positioned along a gradient of Evaporation/Inflow ratio were examined during 2003 with the goal of studying how the hydrologic setting influences the limnology of such waterbodies. The following questions were asked in this study: 1) Does hydraulic connectivity affect the nutrient and/or light regimes of deltaic lakes? 2) Does hydraulic connectivity affect productivity of macrophyte and phytoplankton communities? 3) Does hydraulic connectivity alter the seasonality of the limno-ecology of PAD lakes? Progress towards answering these questions goals were achieved through work of the previous summer (2003). Continuation of this work in the coming summer (2004) will allow for an examination of inter-year variability. In particular the possibility of contrasting the effects of differing ice break-up conditions on the seasonal development of limnological physical, chemical and biological conditions.","Wiklund, JA;Hall, R I","1","ASFA: Aquatic Sciences and Fisheries Abstracts","pro","MB","NA","NA","NA","NA","NA","NA","NA","NA"
"27","changes in water chemistry associated with beaver-impounded coastal marshes of eastern georgian bay","r3_04","","Coastal marshes of eastern Georgian Bay contain unique water chemistry that reflects mixing between the relatively ion-rich waters of Georgian Bay and the relatively ion-poor water draining the Canadian Shield landscape. These unique chemical characteristics may be dramatically altered when wetlands become hydrologically disconnected from Georgian Bay through beaver activity. We sampled 35 coastal marshes in Georgian Bay, 17 of which had beaver impoundments built at the outlet of the coastal wetland. Impounded marshes had significantly higher total phosphorus (30.2 versus 15.3 mu g.L super(-1), p = 0.0015), soluble reactive phosphorus, (13.33 versus 3.7 mu g.L super(-1), p less than or equal to 0.0001), total suspended solids (15.5 versus 2.1 mg.L super(-1), p less than or equal to 0.0001), turbidity (5.4 versus 1.6, p = 0.0004), and chlorophyll (6.2 versus 1.9 mu g.L super(-1), p = 0.0004), but significantly lower pH (5.57 versus 6.95, p less than or equal to 0.0001), nitrates (0.03 versus 0.04 mg.L super(-1), p = 0.0416), and conductivity (47 versus 134 mu S.cm super(-1), p less than or equal to 0.0001), indicative of reduced mixing with Georgian Bay. The mosaic of chemical conditions and altered hydrological connectivity associated with beaver impoundments in coastal marshes of Georgian Bay may affect the distribution of other wetland biota, and further studies should be conducted to ascertain these impacts.Original Abstract: Les marais littoraux de l'est de la baie Georgienne presentent une chimie de l'eau particuliere qui reflete le melange d'eaux relativement riches en ions dans la baie Georgienne et de l'eau relativement pauvre en ions s'ecoulant du Bouclier. Ces caracteristiques chimiques particulieres peuvent subir d'importants changements quand l'activite de castors entraine l'isolement hydrologique de zones humides de la baie Georgienne. Nous avons echantillonne 35 marais littoraux de la baie Georgienne, dont 17 etaient caracterisees par la presence de barrages de castors a l'embouchure de la zone humide littorale. Les marais de barrage presentaient des valeurs significativement plus elevees de phosphore total (30,2 contre 15,3 mu g.L super(-1), p = 0,0015), de phosphore reactif soluble (13,33 contre 3,7 mu g.L super(-1), p less than or equal to 0,0001), du total des solides en suspension (15,5 contre 2,1 mg.L super(-1), p less than or equal to 0,0001), de la turbidite (5,4 contre 1,6, p = 0,0004) et de la chlorophylle (6,2 contre 1,9 mu g.L super(-1), p = 0,0004), mais des valeurs significativement plus faibles du pH (5,57 contre 6,95, p less than or equal to 0,0001), des nitrates (0,03 contre 0,04 mg.L super(-1), p = 0,0416) et de la conductance (47 contre 134 mu S.cm super(-1), p less than or equal to 0,0001), indiquant une reduction du melange avec des eaux de la baie Georgienne. La mosaique de conditions chimiques et de connectivite hydrologique associee aux barrages de castors dans les marais littoraux de la baie Georgienne pourrait avoir une incidence sur la repartition d'autres biotes de zone humide, et d'autres etudes devraient etre menees pour etablir l'importance de ces impacts. [Traduit par la Redaction]","Fracz, Amanda;Chow-Fraser, Patricia","2013","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","PG","NA","NA","NA","NA","NA","NA","NA","NA"
"36","connectivity influences temporal variation of limnological conditions in missouri river scour lakes","r3_05","","Two scour lakes in the Missouri River floodplain were sampled 20 months (April 1996-December 1997) to examine effects of river inflow on mixing, seston, and nutrient dynamics. Lake NC-11 ( approximately 4 ha) is deep ( approximately 16 m), sheltered, dimictic, and connected to the river only during floods. Lake S-19 ( approximately 20 ha) comprises two sub-basins, a deep ( approximately 12 m) riverine forewater perennially connected to the river and a shallow ( approximately 4 m), polymictic backwater of variable connectivity. Stratification in NC-11 affected, and was affected by, river inputs - cool inflows mixed completely and sometimes destratified the lake, warmer inflows were partly or completely confined to the epilimnion. Mixing between basins at S-19 was incomplete except during floods. During floods, concentrations of seston and particulate N and P were similar in the two basins of S-19, but conditions in the two basins diverged substantially during inter-flood periods as lower water levels reduced lateral exchange. Seston concentrations in NC-11 during floods were much less ( approximately 90% less) than in S-19 or the river. In NC-11, algal blooms (chlorophyll 50-90 mu g times L super(-1)) occurred in summer post-flood periods, but larger blooms (chlorophyll 50-256 mu g times L super(-1)) occurred in the S-19 backwater during periods of low connectivity in all seasons. Nitrate-N peaked at >2 mg times L super(-1) during floods but was exhausted during algal blooms along with up to approximately 90% of dissolved phosphorus. Silica declined sharply (up to 93%) in many, but not all blooms, but remained >0.5 mg times L super(-1) in all observations. Connectivity influenced many lake features and enhanced nutrient availability, but other floodplain lakes lacking river connections have similar algal biomass.","Knowlton, M F;Jones, J R","2003","ASFA: Aquatic Sciences and Fisheries Abstracts","chla","MB","NA","NA","NA","NA","NA","NA","NA","NA"
