ID,Connectivity_type,Connectivity_measure,Seasonal_code,Repeats_code,reviewer_name,chlorophyll,Paper,Title,country,watershed,water_body_type,System Size,site_size,water_body_size,latitude,longitude,year,month,seasonality,seasons,study_type,connectivity,lateral,longitudinal,hyporheic,spatial,temporal_def,temporal,connectivity_process,connectivity_quantitative,connectivity_metric,connectivity_def,predictors,responses,chlorophyll,primary_productivity_metric,chlorophyll_method,chlorophyll_response,chlorophyll_response_notes,food_web,phytoplankton,fish,mean,sd,n,data_published,data_figure,analysis_method,include_exclude,notes
chl_16,2,d,y,n,DC,y,Bolpagni et al. 2017,connectivity and habitat typology drive co2 and ch4 fluxes across land-water interfaces in lowland rivers,Italy,Po River,river,not reported,not reported,"652km length total, 5km studied",,"45°01?N, 10°03?E",2008,May-Sept (monthly sampling),n,n,observational,y,y,n,n,n,flow,y,"Flow, high vs. low",n,site,high flow vs. low flows across time,site,"Temperature, Conductivity, pH, O2, DIC, NH4, NO3, PO4, Chl a",y,chla,Not Specified,ug/l ,,n,n,n,y,y,n,n,y,likelihood ratio testing,include,"The metric may not assess connectivity in a way that we can use--the data is presented per site, but not broken out across flow conditions"
pro_48,3,na,na,na,DC,n,Chen et al. 2020,local and regional drivers of environmental changes in two subtropical montane ponds (central china) over the last two centuries,China,Congping Basin,lake,not reported,not reported,Not Specified,"31°24?12?N, 110°03?25?E",,1880-2008,n/a,na,na,observational,n,n,n,n,n,na,n,na,n,na,na,na,na,n,na,Not Specified,na,,n,n,n,n,n,n,n,n,,exclude,"Data collection and connectivity metric preclude connectivity analysis, results are not clearly communicated"
chl_56,1,a,y,n,DC,y,da Silva et al. 2010,"serial discontinuity along the descoberto river basin, central brazil",Brazil,Descoberto River,river,950km2,13 sites,Not Specified,15° 37’ S; 48° 10’ W,,"2003, 2004",March 03-April 04,y,wet vs. dry,na,n,n,n,n,n,season,y,Wet season vs. dry season,n,na,na,above vs. below dam,"suspended solids, DO, chemical O demand, biochemical oxygen demend, total phosphorus, orthophosphate, NH4, NO3, NO2, chloride, TOC, coliforms",y,chla,Not Specified,ug/l,,n,n,n,n,n,n,n,y,PCA and Correlation,incluce,Sites below the dam generally showed higher ChlA
chl_27,0,na,na,na,DC,y,Feio et al. 2010,functional indicators of stream health: a river-basin approach,Portugal,"Mondego, Vouga and Lis",river,not reported,not reported,11200km2,Not Specified,,2007,February and March,n,n,experimental,n,n,n,n,n,na,n,reference vs. disturbed ,,na,na,na,na,y,chla,Not Specified,ug/l,,n,n,n,y,y,y,n,n,,include,"The comparison presented is between disturbed and reference sites, but the categories don't relate to a connectivity metric"
chl_6,2,e,y,n,DC,y,Gallardo et al. 2012,aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain,Spain,Ebro River,floodplain lake,,"2 oxbow lakes, 35-70 ha",,41 390 N,0 52 W,2007,February and March,n,n,observational,y,y,n,n,n,flood,y,floodplain lake connection during flood,Flood event,stable vs. flood,floodplain activation via flood,,"DO, temp, pH",y,chla,spectrophotometric method,"ug/l of Chla a, b, c",,n,n,n,y,y,y,n,y,LME and ANOVA,include,
chl_64,0,na,na,na,DC,na,"Gimbo, R",spatial variability of zooplankton along a section of river sio under different habitat conditions,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,,exclude,Masters thesis
pro_50,0,na,na,na,DC,na,"Islam, Abu Reza Md Towfiqul;Talukdar, Swapan;Mahato, Susanta;Ziaul, Sk;Eibek, Kutub Uddin;Akhter, Shumona;Pham, Quoc Bao;Mohammadi, Babak;Karimi, Firoozeh;Linh, Nguyen Thi Thuy",machine learning algorithm-based risk assessment of riparian wetlands in padma river basin of northwest bangladesh,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,na,na,na,,na,na,na,na,na,na,na,na,na,exclude,"Machine learning modeling paper, not relevant for study"
pro_56,"1, 2",c,y,n,DC,y,Istvánovics et al. 2010,"phytoplankton dynamics in relation to connectivity, flow dynamics and resource availability the case of a large, lowland river, the hungarian tisza",Hungary,Tisza River,river,15700 km2,600km,Not Specified,,na,2000,February to October,n,n,n,n,n,y,n,n,flow,y,"Flow, high vs. low",,flow,higher vs. lower flows,,"phosphorus, NH4, NO3, chloride, suspended solids",y,chla,extraction in hot ethanol,ug/l,,n,y,n,n,n,n,n,y,,include,
chl_74,1,a,na,na,DC,n,Kelly and Hassall 2018,the spatial ecology of phytoplankton blooms in uk canals,UK,n/a,canal,not reported,not reported,Not Specified,Not Specified,,not reported,Not Specified,n,n,observational,y,n,y,n,n,na,n,hydrologic distance between points,Spatial autocorrelation,Spatial autocorrelation,proximity between points,"Landcover, distance",algal community composition,n,na,Not Specified,na,,n,n,n,n,n,n,n,n,,include,
chl_48,2,a,n,y,DC,y,Kiss et al. 2014,"microcrustacean (cladocera, copepoda, ostracoda) diversity in three side arms in the gemenc floodplain (danube river, hungary) in different hydrological situations",Hungary,Danube River,river,not reported,not reported,"30 km long and 5-10 km wide, 180km2 area",,,"2002, 2003, 2004, 2007, 2009",April-October,n,n,observational,y,n,n,n,y,na,n,side channel vs. main stem,n,side channel vs. main stem,watershed position,"Water temperature, pH, conductivity, DO, OM, Chla",microcrustacean community composition,y,chla,Not Specified,ug/l,,n,n,n,n,n,n,n,n,correlation,include,Found that microcrustacean abundance was correlated with ChlA in side channels but not main stem of river
pro_38,1,d,n,n,DC,n,Klein et al. 2009,incorporating ecological and evolutionary processes into continental-scale conservation planning,Austrailia,national scale,catchment/watershed,Continental,Continental/catchment,national/scale,Not Specified,Not Specified,2009,Not Specified,n,n,observational,y,n,n,n,n,na,n,MARXAN software,n,na,na,na,na,n,na,Not Specified,na,,n,n,n,n,n,n,n,n,,include,Modeling study focused on conservation tradeoffs
chl_37,2,e,y,n,DC,y,Montoya et al. 2006,hydrological seasonality and benthic algal biomass in a neotropical floodplain river,Venezuela,Cinaruco River,river,"11,700km2 area",12km stretch,505km long,na,na,"2002, 2003",Jan 02-Aug 03,y,n,observational,y,y,n,n,y,na,n,Water level,y,"High/low water, river vs. floodplain",,,"phaeophytin, s-chla, b-chla",y,"s-chla, b-chla",overnight 90% acetone extraction protocol using spectrofluorometric and spectrophotometric methods,ug/l of s-Chla and b-chla,,n,n,n,y,y,y,n,y,anova,include,Multiple ways of looking at 
chl_19,2,c,n,n,DC,y,Neves et al. 2018,do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?,Brazil,Pelotas River,river,"35,813 km2",6 sites,Not Specified,28'28'48 S,50'1'44 W,"2013, 2014",Aug 2013-May 2014,,n,observational,n,n,n,n,y,na,n,Water level,n,na,na,na,"temp, pH, conductivity, DO, turbidity, transparency, color, organic N, NH4, total N, nitrate, nitrite, phosporus, BOD, COD, total solids, suspended solids, dissolved solids, chla",y,chla,Not Specified,ug/l,,y,n,n,n,n,n,n,y,correlation,include,S-CHLAwas inversely correlated with the water level in both river and lagoon sites
pro_47,0,na,na,na,DC,na,"Noe, G B;Hupp, C R;Schenk, E;Batson, J;Krauss, K;Ensign, S;Wolf, K;Ahn, C;Anonymous",linkages between hydrogeomorphology and nutrient availability in wetlands,na,na,na,na,na,na,na,na,na,na,na,n,na,na,n,n,n,na,na,n,na,n,na,na,na,na,na,na,na,na,,na,n,n,n,n,n,n,n,,exclude,Conference abstract
pro_59,0,na,na,na,DC,n,Sandi et al. 2020,resilience to drought of dryland wetlands threatened by climate change,Austrailia,Macquarie River,wetland,225km2,225km2,Not Specified,15° 37’ S;, 48° 10’ W),1991-2003,na,na,n,observational,n,n,n,n,na,na,n,na,n,na,na,na,na,n,na,na,na,,na,n,n,n,n,n,n,n,,exclude,Terrestrial vegetation study not related to project
